CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,Final_InStoreShare,Final_UE_share,Final_DD_share,Final_SD_share,TotalDeliveryOrders,TotalRevenue,TotalNetProfit,AggregatorOrders,AggregatorDependence,InStoreReliance,AggregatorRiskCategory
Burgers,25009,Lucky Burgers Eatery,Cafe,South Auckland,1.05,45.34,1036,274,12423.16,343,190,229,15551.62,8614.6,10382.86,0.267623493429273,0.392365170945413,0.31,13,3.84,879.36,4224.02,466.72,258.54,2650.93,0.36,0.45,0.25,0.3,0.2644787644787645,0.3310810810810811,0.1833976833976834,0.22104247104247104,762,46972.24,7600.210000000001,533,0.5144787644787645,0.2644787644787645,Medium Risk
Burgers,25107,King Burgers Eatery,Ghost Kitchen,CBD,0.99,42.53,953,62,2636.86,401,223,267,17054.53,9484.19,11355.51,0.260719021281693,0.292267443262972,0.29,10,2.95,787.65,1178.71,2677.79,1489.15,4288.42,0.07,0.45,0.25,0.3,0.06505771248688352,0.42077649527806926,0.23399790136411333,0.2801678908709339,891,40531.090000000004,9634.07,624,0.6547743966421826,0.06505771248688352,Medium Risk
Burgers,25352,King Burgers Bistro,Ghost Kitchen,North Shore,1.03,31.83,1354,100,3183.0,564,314,376,17952.12,9994.62,11968.08,0.259987647132948,0.224010411184281,0.33,15,4.43,1665.68,1642.43,3339.13,1859.02,4509.87,0.08,0.45,0.25,0.3,0.07385524372230429,0.41654357459379615,0.23190546528803546,0.2776957163958641,1254,43097.82,11350.45,878,0.6484490398818316,0.07385524372230429,Medium Risk
Burgers,25255,Urban Burgers Diner,Cafe,North Shore,1.03,37.65,1511,302,11370.3,544,302,363,20481.6,11370.3,13666.95,0.210879622809589,0.369592107273638,0.28,16,4.72,1713.36,4770.16,2857.76,1586.48,4020.31,0.25,0.45,0.25,0.3,0.199867637326274,0.3600264725347452,0.199867637326274,0.2402382528127068,1209,56889.149999999994,13234.71,846,0.5598941098610192,0.199867637326274,Medium Risk
Burgers,26270,Top Burgers Diner,Ghost Kitchen,CBD,0.99,42.95,1382,53,2276.35,598,332,399,25684.1,14259.4,17137.05,0.259372560633346,0.309947346220724,0.29,18,5.31,2118.69,980.38,3613.24,2006.01,5261.9,0.04,0.45,0.25,0.3,0.03835021707670044,0.43270622286541244,0.2402315484804631,0.28871201157742404,1329,59356.899999999994,11861.529999999999,930,0.6729377713458755,0.03835021707670044,Medium Risk
Burgers,25612,Classic Burgers Bistro,QSR,South Auckland,1.05,45.49,998,193,8779.57,362,201,242,16467.38,9143.49,11008.58,0.253722506202757,0.430719664134085,0.28,4,1.18,285.56,2770.46,585.54,325.12,3188.28,0.24,0.45,0.25,0.3,0.1933867735470942,0.3627254509018036,0.20140280561122245,0.24248496993987975,805,45399.020000000004,6869.4,563,0.564128256513026,0.1933867735470942,Medium Risk
Burgers,25436,Classic Burgers Tavern,Full-service,North Shore,1.03,42.97,718,242,10398.74,214,119,143,9195.58,5113.43,6144.71,0.368939419602975,0.501108688791282,0.32,8,2.36,337.48,1351.34,-1747.6,-971.8,461.04,0.51,0.45,0.25,0.3,0.3370473537604457,0.298050139275766,0.16573816155988857,0.1991643454038997,476,30852.46,-907.02,333,0.4637883008356546,0.3370473537604457,Low Risk
Burgers,25260,Classic Burgers Cafe,Full-service,West Auckland,1.04,32.34,2051,646,20891.64,632,351,422,20438.88,11351.34,13647.48,0.373705843370408,0.465107345278375,0.28,13,3.84,1620.48,3367.46,-2428.41,-1348.69,579.31,0.46,0.45,0.25,0.3,0.3149683081423696,0.3081423695758167,0.17113603120429058,0.20575329107752316,1405,66329.34,169.67000000000007,983,0.47927840078010725,0.3149683081423696,Low Risk
Burgers,25452,Lucky Burgers Kitchen,Cafe,CBD,0.99,30.92,1308,324,10018.08,443,246,295,13697.56,7606.32,9121.4,0.23099601617083,0.373214836767875,0.31,11,3.25,958.75,3965.05,1175.1,652.54,2651.4,0.33,0.45,0.25,0.3,0.24770642201834864,0.33868501529051986,0.18807339449541285,0.22553516819571864,984,40443.36,8444.09,689,0.5267584097859327,0.24770642201834864,Medium Risk
Burgers,25319,King Burgers Diner,Cafe,West Auckland,1.04,45.6,799,184,8390.4,277,154,184,12631.2,7022.4,8390.4,0.279372675232589,0.399700684985146,0.29,15,4.43,815.12,2692.7,390.64,217.18,1877.58,0.3,0.45,0.25,0.3,0.23028785982478098,0.34668335419274093,0.1927409261576971,0.23028785982478098,615,36434.4,5178.099999999999,431,0.5394242803504381,0.23028785982478098,Medium Risk
Burgers,25132,Lucky Burgers Tavern,Ghost Kitchen,CBD,0.99,36.56,897,42,1535.52,385,214,256,14075.6,7823.84,9359.36,0.294071698107291,0.265251147735398,0.3,18,5.31,1359.36,676.67,1980.12,1100.64,2765.1,0.05,0.45,0.25,0.3,0.046822742474916385,0.42920847268673357,0.23857302118171683,0.2853957636566332,855,32794.32,6522.530000000001,599,0.6677814938684504,0.046822742474916385,Medium Risk
Burgers,26489,Classic Burgers Cafe,Cafe,West Auckland,1.04,36.49,1640,468,17077.32,527,293,352,19230.23,10691.57,12844.48,0.226056149750948,0.371622992213815,0.3,16,4.72,1661.44,6870.56,1967.65,1093.97,3506.16,0.4,0.45,0.25,0.3,0.28536585365853656,0.32134146341463415,0.17865853658536585,0.2146341463414634,1172,59843.600000000006,13438.34,820,0.5,0.28536585365853656,Medium Risk
Burgers,25040,Lucky Burgers Grill,QSR,North Shore,1.03,41.72,1452,299,12474.28,519,288,346,21652.68,12015.36,14435.12,0.24809970267117,0.389124022936448,0.32,18,5.31,1837.26,4525.37,926.22,513.97,3399.46,0.26,0.45,0.25,0.3,0.2059228650137741,0.3574380165289256,0.19834710743801653,0.23829201101928374,1153,60577.44,9365.02,807,0.5557851239669421,0.2059228650137741,Medium Risk
Burgers,25502,Top Burgers Grill,Cafe,West Auckland,1.04,34.21,899,207,7081.47,311,173,208,10639.31,5918.33,7115.68,0.247309528961778,0.350396152329631,0.31,3,0.89,185.12,2848.84,981.95,546.23,2677.48,0.3,0.45,0.25,0.3,0.23025583982202447,0.3459399332591769,0.19243604004449388,0.23136818687430477,692,30754.79,7054.5,484,0.5383759733036707,0.23025583982202447,Medium Risk
Burgers,25889,Top Burgers Bistro,QSR,North Shore,1.03,40.18,1334,231,9281.58,496,276,331,19929.28,11089.68,13299.58,0.238772939294577,0.433020327752456,0.31,17,5.02,1661.62,3046.28,362.85,201.91,2703.39,0.21,0.45,0.25,0.3,0.17316341829085458,0.37181409295352325,0.20689655172413793,0.24812593703148425,1103,53600.12,6314.43,772,0.5787106446776612,0.17316341829085458,Medium Risk
Burgers,25283,Urban Burgers Grill,Cafe,South Auckland,1.05,42.16,571,151,6366.16,189,105,126,7968.24,4426.8,5312.16,0.27608444660902,0.441550263715908,0.29,4,1.18,148.68,1797.58,-60.84,-33.8,1351.29,0.36,0.45,0.25,0.3,0.26444833625218916,0.3309982486865149,0.18388791593695272,0.22066549912434325,420,24073.36,3054.23,294,0.5148861646234676,0.26444833625218916,Medium Risk
Burgers,25366,Classic Burgers Tavern,Full-service,West Auckland,1.04,45.99,701,214,9841.86,219,122,146,10071.81,5610.78,6714.54,0.392565074376762,0.450436520925723,0.27,4,1.18,172.28,1545.16,-1138.13,-634.03,881.89,0.44,0.45,0.25,0.3,0.30527817403708984,0.3124108416547789,0.17403708987161198,0.20827389443651925,487,32238.989999999998,654.89,341,0.4864479315263909,0.30527817403708984,Low Risk
Burgers,25247,Lucky Burgers Kitchen,Cafe,South Auckland,1.05,34.73,1151,304,10557.92,381,212,254,13232.13,7362.76,8821.42,0.20139017611742,0.416730785742402,0.31,5,1.48,375.92,4031.85,951.11,529.23,2992.8,0.36,0.45,0.25,0.3,0.26411815812337097,0.3310165073848827,0.1841876629018245,0.2206776715899218,847,39974.229999999996,8504.990000000002,593,0.5152041702867072,0.26411815812337097,Medium Risk
Burgers,25004,King Burgers Cafe,Ghost Kitchen,South Auckland,1.05,34.64,1629,106,3671.84,685,381,457,23728.4,13197.84,15830.48,0.259387835033704,0.336022477445658,0.32,18,5.31,2426.67,1485.59,2007.18,1116.4,3978.18,0.07,0.45,0.25,0.3,0.06507059545733579,0.42050337630448126,0.23388581952117865,0.2805402087170043,1523,56428.56,8587.35,1066,0.6543891958256599,0.06507059545733579,Medium Risk
Burgers,25853,Classic Burgers Tavern,Ghost Kitchen,CBD,0.99,31.34,1519,72,2256.48,651,362,434,20402.34,11345.08,13601.56,0.272829318465665,0.319570669706445,0.32,5,1.48,642.32,919.74,1787.25,993.83,4901.68,0.05,0.45,0.25,0.3,0.04739960500329164,0.42857142857142855,0.23831468071099407,0.2857142857142857,1447,47605.46,8602.5,1013,0.6668861092824226,0.04739960500329164,Medium Risk
Burgers,25005,Classic Burgers Bistro,Ghost Kitchen,South Auckland,1.05,39.35,1305,85,3344.75,549,305,366,21603.15,12001.75,14402.1,0.285651653038803,0.280214194732253,0.3,9,2.66,973.56,1452.07,2897.72,1609.84,5278.88,0.07,0.45,0.25,0.3,0.06513409961685823,0.4206896551724138,0.23371647509578544,0.28045977011494255,1220,51351.75,11238.51,854,0.6544061302681993,0.06513409961685823,Medium Risk
Burgers,25077,Lucky Burgers House,Cafe,CBD,0.99,39.76,1641,378,15029.28,568,316,379,22583.68,12564.16,15069.04,0.211968362163752,0.366120141441934,0.31,14,4.13,1565.27,6341.03,2527.37,1406.07,4792.53,0.3,0.45,0.25,0.3,0.2303473491773309,0.3461304082876295,0.19256550883607557,0.23095673369896405,1263,65246.159999999996,15067.0,884,0.538695917123705,0.2303473491773309,Medium Risk
Burgers,25856,Top Burgers Cafe,Cafe,West Auckland,1.04,34.59,1501,328,11345.52,528,293,352,18263.52,10134.87,12175.68,0.212431895472109,0.353694221447222,0.3,8,2.36,830.72,4922.52,2445.01,1356.79,4451.99,0.28,0.45,0.25,0.3,0.21852098600932712,0.351765489673551,0.19520319786808793,0.23451032644903397,1173,51919.590000000004,13176.31,821,0.5469686875416389,0.21852098600932712,Medium Risk
Burgers,25886,Urban Burgers Bistro,Ghost Kitchen,South Auckland,1.05,35.87,1180,77,2761.99,496,276,331,17791.52,9900.12,11872.97,0.254884610173758,0.256033067405224,0.32,17,5.02,1661.62,1350.84,3008.23,1673.94,4145.24,0.07,0.45,0.25,0.3,0.06525423728813559,0.42033898305084744,0.23389830508474577,0.2805084745762712,1103,42326.600000000006,10178.25,772,0.6542372881355932,0.06525423728813559,Medium Risk
Burgers,25133,Top Burgers Corner,Full-service,South Auckland,1.05,44.46,2051,636,28276.56,637,354,424,28321.02,15738.84,18851.04,0.386117483489215,0.498271016147919,0.27,12,3.54,1500.96,3269.1,-4372.44,-2429.9,678.44,0.45,0.45,0.25,0.3,0.3100926377376889,0.310580204778157,0.17259873232569478,0.2067284251584593,1415,91187.45999999999,-2854.7999999999997,991,0.4831789371038518,0.3100926377376889,Low Risk
Burgers,25377,Lucky Burgers Bistro,Full-service,South Auckland,1.05,39.78,1449,442,17582.76,453,252,302,18020.34,10024.56,12013.56,0.380261697387323,0.519352306029759,0.28,4,1.18,356.36,1765.06,-3236.71,-1800.55,849.63,0.44,0.45,0.25,0.3,0.30503795721187027,0.31262939958592134,0.17391304347826086,0.20841959972394755,1007,57641.219999999994,-2422.5699999999997,705,0.4865424430641822,0.30503795721187027,Low Risk
Burgers,25245,Lucky Burgers Cafe,QSR,North Shore,1.03,43.22,1634,294,12706.68,603,335,402,26061.66,14478.7,17374.44,0.241746065188199,0.40828570977319,0.32,3,0.89,357.78,4446.93,781.02,433.9,5722.72,0.22,0.45,0.25,0.3,0.1799265605875153,0.3690330477356181,0.20501835985312117,0.2460220318237454,1340,70621.48,11384.57,938,0.5740514075887393,0.1799265605875153,Medium Risk
Burgers,25861,Classic Burgers Diner,Cafe,West Auckland,1.04,38.26,1934,490,18747.4,650,361,433,24869.0,13811.86,16566.58,0.236518038548529,0.38063013474457,0.28,13,3.84,1662.72,7177.48,2557.82,1420.58,4679.83,0.34,0.45,0.25,0.3,0.2533609100310238,0.3360910031023785,0.18665977249224405,0.22388831437435366,1444,73994.84,15835.71,1011,0.5227507755946226,0.2533609100310238,Medium Risk
Burgers,25257,King Burgers Bistro,QSR,South Auckland,1.05,44.28,1873,350,15498.0,685,381,457,30331.8,16870.68,20235.96,0.216959698665887,0.412135697645135,0.3,9,2.66,1215.62,5748.28,2150.66,1196.21,6289.99,0.23,0.45,0.25,0.3,0.18686599038974908,0.36572343833422316,0.203416978109984,0.24399359316604377,1523,82936.44,15385.14,1066,0.5691404164442072,0.18686599038974908,Medium Risk
Burgers,25378,King Burgers Cafe,QSR,North Shore,1.03,37.56,1595,298,11192.88,584,324,389,21935.04,12169.44,14610.84,0.232022813316435,0.378713312605396,0.32,10,2.95,1147.55,4356.98,1519.31,842.9,4539.92,0.23,0.45,0.25,0.3,0.18683385579937303,0.36614420062695924,0.2031347962382445,0.2438871473354232,1297,59908.2,11259.109999999999,908,0.5692789968652038,0.18683385579937303,Medium Risk
Burgers,26108,King Burgers House,Ghost Kitchen,North Shore,1.03,44.4,668,60,2664.0,274,152,182,12165.6,6748.8,8080.8,0.253680308535695,0.260938313254155,0.33,11,3.25,591.5,1293.06,1890.31,1048.64,3330.77,0.1,0.45,0.25,0.3,0.08982035928143713,0.4101796407185629,0.2275449101796407,0.27245508982035926,608,29659.2,7562.780000000001,426,0.6377245508982036,0.08982035928143713,Medium Risk
Burgers,25501,Classic Burgers Eatery,Cafe,South Auckland,1.05,39.67,1315,395,15669.65,414,230,276,16423.38,9124.1,10948.92,0.254867386501282,0.375745487166569,0.3,7,2.07,571.32,5788.17,1139.57,633.1,3473.07,0.43,0.45,0.25,0.3,0.30038022813688214,0.314828897338403,0.17490494296577946,0.20988593155893537,920,52166.049999999996,11033.91,644,0.4897338403041825,0.30038022813688214,Low Risk
Burgers,26230,Top Burgers Kitchen,Cafe,CBD,0.99,42.19,1387,374,15779.06,456,253,304,19238.64,10674.07,12825.76,0.207379126213491,0.384480268880725,0.3,15,4.43,1346.72,6440.08,2080.48,1154.3,3887.99,0.37,0.45,0.25,0.3,0.26964671953857244,0.3287671232876712,0.18240807498197548,0.2191780821917808,1013,58517.53,13562.849999999999,709,0.5111751982696467,0.26964671953857244,Medium Risk
Burgers,26313,Classic Burgers Diner,Full-service,South Auckland,1.05,36.32,604,166,6029.12,197,110,131,7155.04,3995.2,4757.92,0.393435937189497,0.505011981772259,0.3,12,3.54,463.74,612.27,-1419.9,-792.84,19.44,0.38,0.45,0.25,0.3,0.27483443708609273,0.326158940397351,0.18211920529801323,0.21688741721854304,438,21937.28,-1581.0300000000002,307,0.5082781456953642,0.27483443708609273,Medium Risk
Burgers,25775,Lucky Burgers Tavern,QSR,South Auckland,1.05,36.5,1366,273,9964.5,492,273,328,17958.0,9964.5,11972.0,0.202122342158109,0.395233107497916,0.29,3,0.89,291.92,4012.15,2022.87,1122.45,4528.54,0.25,0.45,0.25,0.3,0.19985358711566617,0.3601756954612006,0.19985358711566617,0.24011713030746706,1093,49859.0,11686.01,765,0.5600292825768668,0.19985358711566617,Medium Risk
Burgers,26274,Urban Burgers Bistro,Cafe,West Auckland,1.04,43.42,1527,352,15283.84,529,294,352,22969.18,12765.48,15283.84,0.220944037288427,0.393518741847947,0.31,7,2.07,728.64,5892.49,1735.03,964.27,5163.85,0.3,0.45,0.25,0.3,0.23051735428945644,0.3464309102815979,0.1925343811394892,0.23051735428945644,1175,66302.34,13755.64,823,0.5389652914210871,0.23051735428945644,Medium Risk
Burgers,26100,Urban Burgers House,QSR,South Auckland,1.05,42.81,1119,216,9246.96,406,226,271,17380.86,9675.06,11601.51,0.232086842898279,0.351238823961467,0.32,6,1.77,479.67,3852.97,1680.28,935.33,4354.38,0.24,0.45,0.25,0.3,0.19302949061662197,0.36282394995531725,0.20196604110813227,0.2421805183199285,903,47904.39,10822.96,632,0.5647899910634495,0.19302949061662197,Medium Risk
Burgers,25779,Classic Burgers Grill,Full-service,CBD,0.99,34.31,1833,642,22027.02,536,298,357,18390.16,10224.38,12248.67,0.366821483511012,0.451014979300089,0.28,5,1.48,528.36,4012.52,-1799.23,-1000.32,1702.9,0.54,0.45,0.25,0.3,0.3502454991816694,0.2924168030551009,0.1625750136388434,0.19476268412438624,1191,62890.229999999996,2915.87,834,0.45499181669394434,0.3502454991816694,Low Risk
Burgers,26101,King Burgers Tavern,Full-service,CBD,0.99,32.18,597,164,5277.52,195,108,130,6275.1,3475.44,4183.4,0.378334257286042,0.516466749412939,0.33,18,5.31,690.3,555.19,-1410.65,-781.28,-250.21,0.38,0.45,0.25,0.3,0.2747068676716918,0.32663316582914576,0.18090452261306533,0.21775544388609716,433,19211.46,-1886.95,303,0.507537688442211,0.2747068676716918,Medium Risk
Burgers,25053,King Burgers Tavern,Full-service,West Auckland,1.04,33.51,1661,499,16721.49,523,290,349,17525.73,9717.9,11694.99,0.396553314290941,0.485376674565487,0.28,12,3.54,1235.46,1974.31,-2837.94,-1573.62,145.37,0.43,0.45,0.25,0.3,0.300421432871764,0.31487055990367246,0.17459361830222758,0.21011438892233594,1162,55660.11,-2291.88,813,0.48946417820590005,0.300421432871764,Low Risk
Burgers,25631,Classic Burgers Grill,Full-service,South Auckland,1.05,36.33,1499,525,19073.25,438,244,292,15912.54,8864.52,10608.36,0.372706734831445,0.524310493981466,0.28,12,3.54,1033.68,1964.22,-2816.79,-1569.17,58.8,0.54,0.45,0.25,0.3,0.35023348899266177,0.2921947965310207,0.1627751834556371,0.19479653102068045,974,54458.67,-2362.9399999999996,682,0.4549699799866578,0.35023348899266177,Low Risk
Burgers,26360,Urban Burgers Bistro,Cafe,North Shore,1.03,44.7,1528,361,16136.7,525,292,350,23467.5,13052.4,15645.0,0.267324640452862,0.437447387818247,0.33,12,3.54,1239.0,4764.01,-816.01,-453.86,3379.84,0.31,0.45,0.25,0.3,0.2362565445026178,0.343586387434555,0.19109947643979058,0.22905759162303665,1167,68301.6,6873.98,817,0.5346858638743456,0.2362565445026178,Medium Risk
Burgers,26079,Top Burgers Eatery,Cafe,CBD,0.99,43.28,562,166,7184.48,178,99,119,7703.84,4284.72,5150.32,0.243581773433834,0.436767387227155,0.31,14,4.13,491.47,2296.53,74.35,41.35,1154.83,0.42,0.45,0.25,0.3,0.29537366548042704,0.3167259786476868,0.17615658362989323,0.2117437722419929,396,24323.36,3567.06,277,0.4928825622775801,0.29537366548042704,Low Risk
Burgers,25111,Classic Burgers Kitchen,Ghost Kitchen,South Auckland,1.05,46.57,1487,122,5681.54,614,341,410,28593.98,15880.37,19093.7,0.29746993877925,0.321676251804456,0.29,13,3.84,1574.4,2163.84,2597.87,1442.79,5697.51,0.09,0.45,0.25,0.3,0.082044384667115,0.4129119031607263,0.2293207800941493,0.2757229320780094,1365,69249.59,11902.01,955,0.6422326832548756,0.082044384667115,Medium Risk
Burgers,25595,Top Burgers Kitchen,QSR,West Auckland,1.04,37.61,1276,271,10192.31,452,251,302,16999.72,9440.11,11358.22,0.218210295401514,0.37306306483224,0.3,14,4.13,1247.26,4165.87,1848.32,1026.39,3395.15,0.27,0.45,0.25,0.3,0.21238244514106583,0.3542319749216301,0.19670846394984326,0.23667711598746083,1005,47990.36,10435.73,703,0.5509404388714734,0.21238244514106583,Medium Risk
Burgers,25881,Lucky Burgers Diner,QSR,CBD,0.99,36.87,1197,199,7337.13,449,250,299,16554.63,9217.5,11024.13,0.201856870297343,0.401524102664553,0.28,15,4.43,1324.57,2910.05,1930.58,1074.94,3047.81,0.2,0.45,0.25,0.3,0.16624895572263992,0.37510442773600666,0.20885547201336674,0.24979114452798662,998,44133.39,8963.38,699,0.5839598997493735,0.16624895572263992,Medium Risk
Burgers,26244,Urban Burgers House,Cafe,West Auckland,1.04,34.3,1728,356,12210.8,617,343,412,21163.1,11764.9,14131.6,0.24282123086974,0.435210464918055,0.33,17,5.02,2068.24,3931.49,-169.98,-94.49,2481.69,0.26,0.45,0.25,0.3,0.20601851851851852,0.3570601851851852,0.19849537037037038,0.23842592592592593,1372,59270.399999999994,6148.71,960,0.5555555555555556,0.20601851851851852,Medium Risk
Burgers,26245,Classic Burgers Corner,Full-service,North Shore,1.03,35.96,697,226,8126.96,212,118,141,7623.52,4243.28,5070.36,0.369292362453416,0.529286201111972,0.29,6,1.77,249.57,824.25,-1437.63,-800.19,264.67,0.48,0.45,0.25,0.3,0.3242467718794835,0.30416068866571017,0.16929698708751795,0.20229555236728838,471,25064.12,-1148.9,330,0.4734576757532281,0.3242467718794835,Low Risk
Burgers,26490,Classic Burgers Eatery,Full-service,West Auckland,1.04,41.27,1437,485,20015.95,428,238,286,17663.56,9822.26,11803.22,0.381961005600169,0.502269128710031,0.32,14,4.13,1181.18,2317.24,-3607.43,-2006.0,185.28,0.51,0.45,0.25,0.3,0.337508698677801,0.2978427279053584,0.16562282533054976,0.1990257480862909,952,59304.990000000005,-3110.91,666,0.46346555323590816,0.337508698677801,Low Risk
Burgers,25400,Top Burgers Corner,Ghost Kitchen,West Auckland,1.04,44.01,1458,95,4180.95,613,341,409,26978.13,15007.41,18000.09,0.287121943430975,0.263713604072109,0.29,14,4.13,1689.17,1877.93,4293.96,2388.65,6395.83,0.07,0.45,0.25,0.3,0.06515775034293553,0.4204389574759945,0.23388203017832648,0.28052126200274347,1363,64166.58,14956.37,954,0.654320987654321,0.06515775034293553,Medium Risk
Burgers,26532,King Burgers House,Full-service,North Shore,1.03,34.87,2227,722,25176.14,677,376,452,23606.99,13111.12,15761.24,0.383675677911378,0.470021476503462,0.31,8,2.36,1066.72,3683.34,-3864.4,-2146.25,1239.19,0.48,0.45,0.25,0.3,0.3242029636281994,0.3039964077233947,0.16883700044903457,0.20296362819937136,1505,77655.49,-1088.12,1053,0.4728334081724293,0.3242029636281994,Low Risk
Burgers,25267,King Burgers Kitchen,Cafe,West Auckland,1.04,35.82,818,238,8525.16,261,145,174,9349.02,5193.9,6232.68,0.210430280975997,0.436889241216704,0.28,4,1.18,205.32,3006.66,679.49,377.5,1992.82,0.41,0.45,0.25,0.3,0.29095354523227385,0.31907090464547677,0.17726161369193155,0.21271393643031786,580,29300.760000000002,6056.469999999999,406,0.4963325183374083,0.29095354523227385,Low Risk
